[Header]
TITLE,20201208_CrCl2pym-Ag_HC_2to60K.dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,4.4,MASS:Sample Mass (mg)
INFO,0.2,MASSERR:Sample Mass Error (mg)
INFO,0,MOLWGHT:Formula Weight (g/mole)
INFO,0,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (muJ/K),Samp HC Err (muJ/K),Addenda HC (muJ/K),Addenda HC Err (muJ/K),Total HC (muJ/K),Total HC Err (muJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (muJ/K/K),Addenda Offset HC (muJ/K)
3816573434.92842,,1857,5.39939,5.39939,-0.16592923,9.8999999E-6,5.4262853,0.11761061,12.306271,0.03222,3.3985475,0.006985,15.704818,0.03222,14.811008,2.7961776,0.028467938,93.898521,,,1,,,,5.8430247E-6,5.6192337,29.444573,2.2678997,0
3816573474.33144,,1857,5.40004,5.40004,-0.14222506,9.8999999E-6,5.426086,0.11701283,12.333223,0.03158,3.3981027,0.006983,15.731326,0.03158,18.61683,2.7951687,0.028526445,93.874809,,,1,,,,5.856174E-6,5.5923553,29.442409,2.2729501,0
3816573601.94399,,1857,5.59951,5.59951,-0.1896334,9.8999999E-6,5.6253241,0.11886943,13.234913,0.03688,3.7342833,0.008008,16.969196,0.03688,19.261678,2.9018238,0.030482692,93.782563,,,1,,,,6.0862061E-6,5.5903374,31.644271,2.3527378,0
3816573642.54979,,1857,5.59988,5.59988,-0.13037296,9.8999999E-6,5.6273003,0.12208837,13.245842,0.03122,3.7339353,0.008007,16.979777,0.03122,53.213977,2.8833465,0.029899397,93.8605,,,1,,,,6.1258818E-6,5.8036477,31.666508,2.3538538,0
3816573683.15426,,1857,5.60048,5.60048,-0.13037296,9.8999999E-6,5.627311,0.12149458,13.234446,0.03131,3.7337256,0.008006,16.968171,0.03131,26.569028,2.871013,0.029473023,93.926112,,,1,,,,6.1451765E-6,5.7666929,31.666629,2.3518241,0
3816573812.15965,,1857,5.80005,5.80005,-0.14222506,9.8999999E-6,5.8262132,0.12269302,14.144481,0.0394,4.0906991,0.009207,18.235181,0.0394,15.29869,2.961643,0.032244668,93.646779,,,1,,,,6.4113214E-6,5.742026,33.944761,2.4277315,0
3816573853.53722,,1857,5.80031,5.80031,-0.10666879,9.8999999E-6,5.8279719,0.12573347,14.204866,0.03585,4.0899372,0.009204,18.294803,0.03585,26.56035,2.966973,0.031725503,93.745732,,,1,,,,6.4169452E-6,5.923286,33.965256,2.4373601,0
3816573894.75964,,1857,5.79964,5.79964,-0.15407714,9.8999999E-6,5.8280666,0.12598057,14.189348,0.03472,4.0901698,0.009205,18.279518,0.03472,32.244433,2.9693733,0.031661223,93.768048,,,1,,,,6.4053115E-6,5.933946,33.96636,2.4346578,0
3816574025.06868,,1857,6.00003,6.00003,-0.11852087,9.8999999E-6,6.0274851,0.12750145,15.205118,0.03944,4.4627206,0.01049,19.667839,0.03944,10.380513,3.0593985,0.033601989,93.645781,,,1,,,,6.6923893E-6,5.9387466,36.330577,2.5226305,0
3816574066.55993,,1857,5.99966,5.99966,-0.11852087,9.8999999E-6,6.0289817,0.13038397,15.186565,0.03794,4.466091,0.01051,19.652656,0.03794,24.315931,3.0502956,0.033145823,93.721841,,,1,,,,6.7035362E-6,6.1187969,36.348621,2.5189271,0
3816574107.88454,,1857,5.99989,5.99989,-0.14222506,9.8999999E-6,6.0285498,0.13005021,15.201904,0.03925,4.4652775,0.0105,19.667181,0.03925,56.846026,3.055499,0.03363061,93.634969,,,1,,,,6.7010986E-6,6.1005912,36.343413,2.5216519,0
3816574236.86874,,1857,6.20005,6.20005,-0.0948167,9.8999999E-6,6.2279078,0.13174373,16.245268,0.04143,4.8588436,0.01193,21.104112,0.04143,4.1164206,3.1421134,0.034944205,93.635581,,,1,,,,6.9902114E-6,6.1109981,38.786836,2.6084632,0
3816574278.13919,,1857,6.19987,6.19987,-0.0948167,9.8999999E-6,6.2296807,0.13467123,16.235385,0.04177,4.8631394,0.01195,21.098524,0.04177,22.933078,3.1431843,0.035093311,93.615752,,,1,,,,6.9867143E-6,6.2842269,38.808922,2.6061343,0
3816574319.51182,,1857,6.20011,6.20011,-0.14222506,9.8999999E-6,6.2295619,0.13465787,16.233312,0.04379,4.8629819,0.01195,21.096294,0.04379,16.202608,3.146032,0.035757551,93.499179,,,1,,,,6.985052E-6,6.2863685,38.807441,2.6058513,0
3816574449.28251,,1857,6.4,6.4,-0.10666879,9.8999999E-6,6.4289943,0.13606457,17.332724,0.04583,5.2798627,0.01371,22.612587,0.04583,19.765884,3.2341416,0.037077431,93.505418,,,1,,,,7.2806076E-6,6.2920641,41.331968,2.6960242,0
3816574491.2722,,1857,6.39969,6.39969,-0.10666879,9.8999999E-6,6.4308326,0.13898334,17.30597,0.04553,5.2843256,0.01373,22.590296,0.04553,9.5602985,3.2143874,0.036701117,93.541195,,,1,,,,7.3160831E-6,6.4682831,41.355608,2.6910933,0
3816574533.4253,,1857,6.39957,6.39957,-0.10666879,9.8999999E-6,6.4306114,0.13842191,17.325313,0.04671,5.2837737,0.01373,22.609087,0.04671,7.9507687,3.2200669,0.036799862,93.530576,,,1,,,,7.3099283E-6,6.4287747,41.352763,2.6941937,0
3816574663.93786,,1857,6.59997,6.59997,-0.16592923,9.8999999E-6,6.6314011,0.13953367,18.537376,0.04883,5.7274675,0.0157,24.264844,0.04883,76.073599,3.3158887,0.038555892,93.465056,,,1,,,,7.6200247E-6,6.4401338,43.975481,2.7953936,0
3816574706.03378,,1857,6.60072,6.60072,-0.17778131,9.8999999E-6,6.6329825,0.1432089,18.506524,0.05016,5.7321742,0.01572,24.238698,0.05016,25.348521,3.324207,0.038969985,93.419919,,,1,,,,7.5946687E-6,6.6317773,43.996457,2.7900758,0
3816574748.12311,,1857,6.59981,6.59981,-0.16592923,9.8999999E-6,6.6330435,0.14338307,18.536307,0.05023,5.732406,0.01572,24.268713,0.05023,13.600926,3.3301343,0.03882816,93.450226,,,1,,,,7.5892484E-6,6.648414,43.997265,2.7945403,0
